FIPS,Name,Population,3/29/2020,3/30/2020,3/31/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/18/2020,5/20/2020,5/21/2020
3384,Atglen Borough,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6
3656,Avondale Borough,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,8,9
6544,Birmingham Township,4208,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10824,Caln Township,14304,2,3,3,5,6,7,7,9,9,10,10,10,12,15,15,16,19,20,21,22,23,25,27,34,39,40,43,47,50,51,51,58,57,58,58,52,65,66,70,72,79,81,83,83,89,89,89
12744,Charlestown Township,6137,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,7,7,9,9,9,9,9,9,12,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,16,18,18,18,18,20
14712,City of Coatesville,13114,0,0,0,0,0,0,0,0,0,1,2,5,6,9,9,10,16,17,17,17,21,23,23,36,37,39,44,47,48,50,54,55,57,57,57,59,59,59,61,63,62,65,65,66,68,69,71
19752,Downingtown Borough,7927,1,1,2,3,3,3,3,3,4,4,4,7,7,7,8,8,9,11,14,14,16,17,17,27,27,28,30,33,35,35,39,40,40,40,42,42,42,43,44,45,47,49,50,49,50,50,50
20824,East Bradford Township,9933,2,2,2,3,3,3,5,6,9,12,12,12,12,12,14,19,21,28,28,30,44,51,52,65,65,73,76,79,79,79,80,81,81,82,82,90,90,90,103,104,111,111,112,112,112,11,115
20864,East Brandywine Township,8826,1,2,3,4,4,4,4,5,6,6,6,8,8,8,8,10,14,15,16,16,22,22,22,26,26,25,27,28,28,28,29,29,29,31,32,32,32,32,32,32,33,33,33,33,33,33,33
20920,East Caln Township,4872,0,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,5,7,7,9,10,10,11,12,12,14,17,18,18,20,22,26,26,29,31,31,31,32,32,32,33,33,33,33,34,34,34
21008,East Coventry Township,6761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,6,8,10,10,10,10,10,10,11,11,11,12,13,13,13,13,13,13,13,14,14,14,14
21104,East Fallowfield Township,7575,2,2,2,2,2,4,4,4,4,4,5,5,6,6,6,8,9,8,9,10,10,12,11,16,17,17,18,19,19,19,19,20,20,20,22,22,22,22,22,22,21,21,21,21,22,24,26
21192,East Goshen Township,18207,6,6,6,10,8,8,9,10,12,14,15,17,19,20,23,27,31,34,36,37,44,50,50,75,77,82,84,90,97,102,109,110,109,111,111,113,115,120,121,120,122,125,128,131,133,142,145
21480,East Marlborough Township,7464,2,2,2,3,3,3,3,4,4,5,5,6,6,6,6,7,8,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,13,13,13,15,15,15,15,15,15,15,16,16,18,20,20
21576,East Nantmeal Township,1846,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21624,East Nottingham Township,9062,2,3,5,5,5,5,6,6,6,7,7,7,7,7,7,7,10,10,10,11,11,13,13,22,22,22,23,23,25,25,25,25,24,24,24,26,28,29,29,27,27,27,27,29,29,29,33
21696,East Pikeland Township,7327,3,3,3,4,4,4,4,4,4,4,4,5,6,6,8,9,9,9,10,13,13,13,13,17,17,18,18,18,18,17,17,17,17,17,17,18,19,19,19,20,20,20,20,20,21,22,22
22000,East Vincent Township,7327,3,3,3,3,3,5,5,8,12,13,15,16,18,20,21,25,28,31,34,36,36,37,37,45,47,50,67,68,67,69,69,70,77,83,85,85,96,97,100,100,100,101,101,101,104,109,109
22056,East Whiteland Township,12402,9,10,10,10,10,10,10,11,16,16,19,19,19,23,25,28,31,35,37,38,47,50,54,59,53,69,69,70,71,71,74,76,77,40,41,42,43,43,44,44,44,46,46,46,51,53,53
21928,Easttown Township,10646,11,11,12,12,16,16,16,18,18,20,22,24,27,30,33,36,39,40,40,40,41,43,44,59,59,61,61,53,64,64,65,65,65,64,64,64,64,64,64,65,66,67,67,67,67,68,68
23032,Elk Township,1703,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3
23440,Elverson Borough,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
27376,Franklin Township,4535,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,9,9,9
